hash,author,date,message,category,logs_added,logs_removed,logs_modified
d0386303f3f2ace467698105bc639d17d829f59d,Nikita Fomichev,Sun Apr 5 23:10:38 2026 +0200,Fix 04077_lwd_alter_delete_privilege: suppress server error log forwarding to client_logs_file,bug_fix,0,0,0
f2f8a5858ece30403559b662e8dfc666b446ee68,Alexey Milovidov,Sat Apr 4 22:14:06 2026 -0700,Merge branch 'master' into yarik/fix-logical-error-no-available-columns,bug_fix,0,0,0
6bb9052a3f7fac5509cc209b53c174f87410ae03,Alexey Milovidov,Sat Apr 4 22:08:29 2026 -0700,Fix unhandled TimeoutError in clickhouse-test trace_log check,bug_fix,0,0,0
c753f7385caecfa3a3f8d875e6c7fb833f000d93,Michael Kolupaev,Sat Apr 4 20:03:12 2026 -0700,keeper-bench: watches,other,0,0,0
5c244ea5003219b444c56c5669b8ce37de429c2c,Pedro Ferreira,Sat Apr 4 19:39:52 2026 +0000,Next fixes,bug_fix,0,0,0
3f567656db22ff1ec823f7975aca34387b8612c7,Pedro Ferreira,Sat Apr 4 19:19:54 2026 +0000,Next fixes,bug_fix,0,0,0
884fb33e9fc09716b86d98ec3d0e66616d584b30,robot-clickhouse,Sat Apr 4 08:27:51 2026 +0000,Backport #95856 to 26.1: Fix exception in destructor when workload is dropped during query execution,bug_fix,0,0,0
5a122c8884792e443e467d6f554f79eb77575036,robot-clickhouse,Sat Apr 4 08:27:22 2026 +0000,Backport #95856 to 25.8: Fix exception in destructor when workload is dropped during query execution,bug_fix,0,0,0
c7d214045ca9767136ed6b28c48e9e5208f2d5a3,Michael Kolupaev,Sat Apr 4 00:37:20 2026 -0700,Vibe-fixed compilation errors,bug_fix,0,0,0
489a87155615865f2858c8dec6d61e85109fe0fe,Michael Kolupaev,Sat Apr 4 00:22:02 2026 -0700,Review comments,other,0,0,0
a049d061218371e67d69bea13eec5a4abff97f06,Michael Kolupaev,Sat Apr 4 00:03:45 2026 -0700,"Wrote 1.5 kloc without compiling, what could go wrong",other,4,0,7
d7fd3b5e6810eaafccbeff6caafb1a2887c8aca8,Michael Kolupaev,Fri Apr 3 15:41:46 2026 -0700,Merge remote-tracking branch 'origin/master' into parallel-reads,other,0,0,0
