hash,author,date,message,category,logs_added,logs_removed,logs_modified
99d498fb5fe30828a2f52b4b6b8609f2c97ddaeb,Marton Greber,Fri Mar 20 15:20:07 2026 +0100,KUDU-3755 tool: add leave_files to control shell,feature,1,0,0
737e339d3813d1a520eb46b96ab91eb44555c025,Alexey Serbin,Fri Mar 27 21:03:14 2026 -0700,KUDU-3757 usability improvement for unsafe/experimental flags,refactor,0,0,0
2991ce9722f692a4d964b0d92e9e200309fee2ad,Yan-Daojiang,Tue Mar 10 15:31:08 2026 +0800,KUDU-3692 Export entity attributes as Prometheus labels,other,1,0,0
7787e6615480130620f6acc79b99a7d9ef9b351d,Gabriella Lotz,Tue Mar 10 16:49:22 2026 +0100,KUDU-3749 Fix range key hex encoding,bug_fix,0,0,0
73a05c4b0843bc79f9073432a8357c6847eec550,Yan-Daojiang,Wed Jan 7 18:59:02 2026 +0800,[tools] Add --preserve_table_ids flag to unsafe_rebuild,feature,9,0,0
b0273b01f0e3180a3d6e9adc2d65b135a837d8af,Gabriella Lotz,Mon Jan 5 18:05:47 2026 +0100,KUDU-3728 Add range-aware rebalancing to auto_rebalancer,feature,1,0,0
63d9c39267bc7f35dc3a2e7535148b28088b229a,Ashwani,Tue Aug 26 18:35:07 2025 +0530,KUDU-3734 include undo size while picking rowsets,other,0,0,0
73ae1d78fc631e5b27e44f8ca33d1eb1988ca70a,Alexey Serbin,Thu Feb 19 14:25:42 2026 -0800,[java] update log4j from 2.24.3 to 2.25.3,other,0,0,0
0a63f0318421e4ec58f79e3c185b496db8025d42,Alexey Serbin,Mon Feb 9 22:42:54 2026 -0800,[tserver] log errors on invalid schemas,other,0,0,0
5c07add3c06a23a7333ff87daccd1ac79ae7d855,Zoltan Martonka,Mon Feb 9 09:01:54 2026 +0000,[consensus] Fix heartbeat batching upper limit.,bug_fix,0,0,0
2c7757b26a649864d64be0494820ae3678a8663b,Alexey Serbin,Thu Jan 22 23:21:49 2026 -0800,KUDU-3736 add CodegenTest.CodegenRandomSchemas scenario,feature,3,0,0
0efbebd487e7d0c7f21ab0d5a91e0fa70046af83,Alexey Serbin,Fri Jan 30 00:53:45 2026 -0800,KUDU-3736 fix SIGSEGV in codegen with libgcc-11.5.0-10+,bug_fix,9,0,0
6dc40cf777cf7c7ac02d2c323748b12f8c79a143,Ashwani Raina,Tue Nov 25 00:39:02 2025 +0530,KUDU-1457 [6/n] Enable IPv6-only mode for webserver,other,0,0,0
f8e57b5131bae879e537595893269dcd2c52c7d9,Alexey Serbin,Fri Jan 23 11:15:44 2026 -0800,[test_util] report random seed only with verbose logging,logging_improvement,0,0,1
79812b258e87abf35f95177021c07b785f402bd6,Gabriella Lotz,Fri Dec 5 18:13:02 2025 +0100,auto_rebalancer: enforce max_moves_per_server per tserver,other,3,0,0
