month,total_commits,logs_added,logs_removed,logs_modified,net_change
2011-03,5,0,0,0,0
2011-04,4,0,0,0,0
2011-05,2,0,0,0,0
2011-06,3,0,0,0,0
2011-07,3,0,0,0,0
2011-08,3,0,0,0,0
2011-09,2,0,0,0,0
2011-10,1,0,0,0,0
2011-11,1,0,0,0,0
2012-05,1,0,0,0,0
2013-12,1,0,0,0,0
2014-02,1,0,0,0,0
2014-04,1,0,0,0,0
2014-05,1,0,0,0,0
2014-06,1,0,0,0,0
2014-07,1,0,0,0,0
2014-08,2,0,0,0,0
2014-09,5,0,0,0,0
2014-10,1,0,0,0,0
2014-11,3,0,0,0,0
2014-12,1,0,0,0,0
2015-01,4,2,0,0,2
2015-02,6,0,0,0,0
2015-03,7,0,0,0,0
2015-04,2,0,0,0,0
2015-07,5,0,0,0,0
2015-09,2,0,0,0,0
2015-10,2,0,0,0,0
2015-11,1,0,0,0,0
2016-01,4,0,0,0,0
2016-02,4,0,0,1,0
2016-03,3,0,0,0,0
2016-04,1,0,0,0,0
2016-05,3,0,0,0,0
2016-06,3,0,0,0,0
2016-07,1,0,0,0,0
2016-09,2,0,0,0,0
2016-10,2,0,0,0,0
