hash,author,date,message,category,logs_added,logs_removed,logs_modified
1ed505248621f5bac124a7a3df4b2bb5323f553e,Maciej Szeszko,Tue Mar 10 16:19:33 2026 -0700,Prepopulate block cache during compaction (#14445),other,0,0,0
3ad23b2d94a5a674ce138f3e04f77cdb8059618f,Josh Kang,Fri Mar 6 10:13:51 2026 -0800,Support automated interpolation search (#14383),feature,0,0,0
8a86620653a626442069681f150cdc2c6bb33f20,Xingbo Wang,Fri Mar 6 08:56:16 2026 -0800,Disable more features in stress test when trie UDI is enabled (#14432),feature,0,0,0
3aa706c2bf3e2544def2d3fb7d581e35873d2c21,Jay Huh,Thu Mar 5 15:56:46 2026 -0800,Enforce WriteBufferManager during WAL recovery (#14305),other,1,0,0
16c81a27e94860907e932fe60d94ac9389c4c92b,zaidoon,Wed Mar 4 15:31:17 2026 -0800,Extend UDI trie index with seqno side-table for same-user-key block boundaries (#14412),other,0,0,0
c31c3ef191c75a4cd48960bb2505656b29c0e9c4,Xingbo Wang,Tue Mar 3 21:40:36 2026 -0800,Relax option sanitization for kv ratio compaction (#14397),other,3,0,0
15f2f2bf6f69de110ea55e7401abd4348a57d3a5,Xingbo Wang,Tue Mar 3 21:40:36 2026 -0800,Relax option sanitization for kv ratio compaction (#14397),other,3,0,0
cc19bd7555ed5c3d29118e9d55db38ca9af68670,Xingbo Wang,Tue Mar 3 08:50:44 2026 -0800,Disable mmap_read with trie index to fix SIGSEGV (#14409),bug_fix,0,0,0
f25fb41da64fa180718386848eb253dfbb016d05,Josh Kang,Mon Mar 2 16:18:14 2026 -0800,Add option to validate sst files in the background on DB open (#14322),feature,2,0,0
b48d6f2c124bc7b319a4d3c8cb3c45d79288fe69,Xingbo Wang,Mon Mar 2 15:54:27 2026 -0800,Block TransactionDB when UDI (use_trie_index) is enabled (#14408),other,0,0,0
8707abfc11d53aa97a6e4b85449ca7daf54ffc2f,zaidoon,Sat Feb 28 12:58:21 2026 -0800,Fix crash in UserDefinedIndexBuilderWrapper with buffered data blocks (#14404),bug_fix,0,0,0
ce0fff9f4106bc1d6523dc32abcc3dc27abb8b79,zaidoon,Thu Feb 26 21:20:48 2026 -0800,Add trie-based User Defined Index (UDI) plugin (#14310),feature,0,0,0
9676ce2f849ee5c0d9e28b1a94f5483f85769d59,Andrew Chang,Tue Feb 17 13:05:44 2026 -0800,Propagate file_checksum through FileOptions on NewRandomAccessFile (#14321),feature,0,0,0
d180f08a66e39d5d153a8ec9f906d842c74cc978,Peter Dillinger,Tue Feb 24 14:10:13 2026 -0800,Restore blob_dump_tool compression support (partially revert PR #14266) (#14382),feature,0,0,0
1ba60ee9eeb075970d17aee21b3b40de1e88d308,Peter Dillinger,Tue Feb 24 14:10:13 2026 -0800,Restore blob_dump_tool compression support (partially revert PR #14266) (#14382),feature,0,0,0
901c88e37b6062f73b87e0bd6207f5a2399478cb,Josh Kang,Mon Feb 23 12:42:05 2026 -0800,Separate keys and values in data blocks (#14287),other,0,0,0
aa7571c3ad048d1a4435bb4df4bfd8a793ec492b,xingbowang,Fri Feb 20 14:58:21 2026 -0800,Run clang-tidy in github CI (#14347),other,0,0,0
f1a6759b1f190ef2bb2c6152976761411777b2ca,Peter Dillinger,Thu Feb 19 20:26:38 2026 -0800,Fix flaky DBTestXactLogIterator.TransactionLogIteratorCheckWhenArchive (#14349),bug_fix,0,0,0
98002215d04764217396971e7ecf7013c5702c3b,Josh Kang,Thu Feb 19 15:22:58 2026 -0800,Fix interpolation search target key less than shared prefix length. (#14343),bug_fix,0,0,0
d3817f058db613868d4879f6d3fd6ae8f4134030,Peter Dillinger,Tue Feb 17 23:33:39 2026 -0800,Remove deprecated DB::Open raw pointer variants (and more) (#14335),other,0,0,0
1f9d8ee302d3ca912fddcb4f334fcfee80f9d51f,Peter Dillinger,Tue Feb 17 23:31:30 2026 -0800,Remove obsolete code for block-based format_version < 2 (after #14315) (#14327),other,0,3,2
d693d5ae26bddeb67e099d6ec653fae5f75e67bb,Peter Dillinger,Tue Feb 17 15:30:00 2026 -0800,Blog post on CPU bug (#14078),bug_fix,0,0,0
f065e1c95de98ed9d0e7c4f88a14d6f4c37c0cdc,Peter Dillinger,Tue Feb 17 14:30:03 2026 -0800,Fix up authors.yml for blog entries (#14342),bug_fix,0,0,0
49695ef868cc110d6350f3c52b873a89e280bc97,Hui Xiao,Tue Feb 17 14:12:08 2026 -0800,Add debug assertion for clean cut invariant in expanding compaction inputs (#14333),bug_fix,2,0,0
09bda51c5009e371873af655bb231779e71ab306,Andrew Chang,Tue Feb 17 13:05:44 2026 -0800,Propagate file_checksum through FileOptions on NewRandomAccessFile (#14321),feature,0,0,0
5f692d747c1c816e3f726d2ef6663214620eaad5,Maciej Szeszko,Tue Feb 17 12:51:36 2026 -0800,Fall back to sync read when async IO is unavailable (#14337),other,0,0,0
6d4c2c3297b78b216764487dfe5eed2c9406a354,Anand Ananthabhotla,Tue Feb 10 15:05:12 2026 -0800,Fix racy assertion in AbortIOPartialHandlesBug test (#14319),bug_fix,0,0,0
b040ab83e1c936b8b7a49a48eeb8fb9421d1b4b4,Xingbo Wang,Sun Feb 15 10:04:58 2026 -0800,Add a new picking algorithm in fifo compaction (#14326),feature,4,0,3
9f4751867658ae850254ec9d844b2e4325c8ae14,Josh Kang,Fri Feb 13 17:15:10 2026 -0800,Add interpolation search as an alternative to binary search (#14247),feature,0,0,0
871f79d6ef2ab88badfea53bba15778954bcb4e2,Peter Dillinger,Fri Feb 13 11:56:22 2026 -0800,Reformat source files (#14331),other,0,0,0
56cb88ec7958bf8cae1a247a9d7b6b945350aa15,Anand Ananthabhotla,Tue Feb 10 15:05:12 2026 -0800,Fix racy assertion in AbortIOPartialHandlesBug test (#14319),bug_fix,0,0,0
2ceb3ef4d23bbb159967218f5624ff4edae2b7c3,Anand Ananthabhotla,Tue Feb 3 12:22:09 2026 -0800,Add a cleanup target to crash_test.mk (#14286),feature,0,0,0
71eb5a164618edb92851d90afc90c82e5b881c8e,Andrew Chang,Fri Jan 30 12:18:44 2026 -0800,Propagate Poll errors in FilePrefetchBuffer::PollIfNeeded (#14282),other,0,0,0
a668dcbe8c6823a987b04ab69c40d809af061000,anand76,Fri Feb 6 10:47:19 2026 -0800,Add Txn db support to ldb (#14304),feature,0,0,0
48ec45d7bbc1d2c3526e1f1b6f0ac7495988a215,Peter Dillinger,Wed Feb 4 15:11:09 2026 -0800,Remove useless option CompressedSecondaryCacheOptions::compress_format_version (#14302),other,0,0,0
82ff0678d4c9e67d83a4fcbe86ab232c2360e05b,Anand Ananthabhotla,Tue Feb 3 12:22:09 2026 -0800,Add a cleanup target to crash_test.mk (#14286),feature,0,0,0
d1b63738e0043ff4cda3c15a5a8c6d52e10220d5,Hemal Shah,Mon Feb 2 17:36:44 2026 -0800,Add `WriteBatch::Handler::LogData` iteration callback function (#14245),feature,0,0,0
feffb67303b7d8f38fd91acb9a5b6f6f06c068c3,Ryan Hancock,Mon Feb 2 13:18:02 2026 -0800,Replace Prefetch Logic in BlockBasedTableIterator with IODispatcher. (#14255),bug_fix,0,0,0
27d70ecd7498b4b17bb0ae0785cd55156a973bd3,Andrew Chang,Fri Jan 30 12:18:44 2026 -0800,Propagate Poll errors in FilePrefetchBuffer::PollIfNeeded (#14282),other,0,0,0
656b734a5f871bc0d83a490cb1bad67448a7e8fe,Xingbo Wang,Fri Jan 30 05:53:04 2026 -0800,Support abort background compaction jobs. (#14227),feature,6,0,0
e94df3db52b13dbdda8e2e4c7e63fab466db03be,Maciej Szeszko,Thu Jan 29 00:53:52 2026 -0800,Remove dead code and unused includes (#14278),other,0,3,0
374c8dd63552ea99136e6bebefa3b6226b588175,Maciej Szeszko,Wed Jan 28 23:13:03 2026 -0800,Remove bytes_per_sync config option (#14276),other,0,1,0
053b0d54dcf7d58236da3d1a182be6775668bf1b,Maciej Szeszko,Wed Jan 28 22:05:33 2026 -0800,Remove blob_dir config option (#14275),other,0,1,0
56d40be243f374a44139298d5d066ddbbaf352cf,Maciej Szeszko,Wed Jan 28 18:03:05 2026 -0800,Remove path_relative config option (#14273),other,0,1,0
148f6c98455322edc472878b4881116d9b941338,Maciej Szeszko,Wed Jan 28 16:58:23 2026 -0800,Replace GC cutoff threshold with a constant (#14272),other,0,1,0
6b5ccbbec6ba65bc8c301aa082559b0ae47d633b,Maciej Szeszko,Wed Jan 28 16:08:10 2026 -0800,Remove inline values support (#14270),feature,0,1,1
80f3d86f21e4893003ecb0bd3eadacc7ac97f89f,Maciej Szeszko,Wed Jan 28 14:02:49 2026 -0800,Remove FIFO eviction support (#14268),feature,0,3,0
2366f63e4fd9ad807dda0ed0e905b7393364f56b,Maciej Szeszko,Wed Jan 28 11:30:37 2026 -0800,Remove compression support (#14266),feature,0,3,0
a9906f0dd0603de36a5f7ca2deead8c234572e92,Peter Dillinger,Thu Jan 22 11:48:06 2026 -0800,A better approach to clearing DBs for crash test (#14254),other,0,0,0
b89d290c20a3e18528118d2255a04f057fe34137,Anand Ananthabhotla,Wed Jan 21 23:23:38 2026 -0800,Add MultiScan statistics (#14248),feature,0,0,0
f84351de981a89d029bc2520ad945726f2f4b930,Andrew Chang,Wed Jan 21 19:17:05 2026 -0800,Fix AbortIO hang when aborting multiple io_uring handles (#14252),bug_fix,0,0,0
ea5e649225737b41db98315c39ebd9cb6ccc988f,Xingbo Wang,Tue Jan 20 14:10:41 2026 -0800,Fix an infinite compaction loop bug with udt (#14228),bug_fix,0,0,0
c6d08d3efe0686a90b5ca877ca9577b8e1032f68,Peter Dillinger,Fri Jan 16 10:01:42 2026 -0800,Use new compression APIs in db_bench (#14241),feature,0,0,0
4bf2bcdbb3d4d0a33b5078487388679320e4c373,Josh Kang,Thu Jan 8 15:15:31 2026 -0800,Allow setting options for multiple column families (#14201),other,1,0,5
387cb4aae7fefbf0fa07ebb0f993936ceaae729c,Peter Dillinger,Mon Jan 5 20:47:46 2026 -0800,Clarify/rename atomic wrapper stuff + blog post (#14213),other,0,0,0
3818cc1acad4e7fbbfb9a1b2eb284bdb4f75d3ac,Xingbo Wang,Mon Dec 29 10:53:58 2025 -0800,Fix a bug in seqno zeroing logic with UDT (#14207),bug_fix,0,0,0
45690d0f6af5318b5aa546cd6601bfbd257dc182,nsaji-stripe,Mon Dec 29 10:15:38 2025 -0800,CompactionServiceOptionsOverride setters C API (#14183),other,0,0,0
5a06787a26ee4035b5c7d46ea4b3d80fc9bc02c9,Maciej Szeszko,Fri Dec 12 14:25:40 2025 -0800,IO uring improvements (#14158),refactor,0,0,0
60f24d394d3e61eee27a8638eb96ab748dd25fd9,Hui Xiao,Thu Dec 11 16:50:42 2025 -0800,Fix resumable compaction to prevent resumption at truncated range deletion boundaries (#14184),bug_fix,1,0,1
a1d83185635b05a907767e481ac0449980daeb73,Hui Xiao,Thu Dec 11 16:50:42 2025 -0800,Fix resumable compaction to prevent resumption at truncated range deletion boundaries (#14184),bug_fix,1,0,1
80c4a67d6aaaee1755a8ccb88c6a02eb75fb91ff,nsaji-stripe,Mon Dec 8 10:08:19 2025 -0800,Remote Compaction C API (#14136),other,0,0,0
4982688c21108ed75ba98c1c4be0f61cc23d2ce8,Peter Dillinger,Mon Nov 24 10:36:12 2025 -0800,Fix AutoSkipCompressorWrapper with new logic (#14150),bug_fix,0,0,0
9c2c8f54fa1d8e9960369311706e8be0a20869e3,Peter Dillinger,Mon Nov 24 10:36:12 2025 -0800,Fix AutoSkipCompressorWrapper with new logic (#14150),bug_fix,0,0,0
dc33c1adaf21a589953e6e7c6b0a0d2b7b3a57c0,Hui Xiao,Fri Nov 21 11:32:00 2025 -0800,Include verify_output_flags to check resumable compaction compatibility (#14139),other,0,0,0
678690274dd83fe3bcecfd97c0cdcaa1eba9cad0,Peter Dillinger,Wed Nov 19 13:16:06 2025 -0800,More options for sst_dump recompress (#14133),other,0,0,0
b9951ded37ba48d3fdcd1f2b484973b40b3d245e,Ryan Hancock,Tue Nov 18 15:57:03 2025 -0800,Introducing Prepare all iterators for LevelIterator (#14100),other,0,0,0
f6c9c3bf1cf05096e8ff8c03ded60c1e199edbb7,Peter Dillinger,Wed Nov 12 21:40:15 2025 -0800,Use AutoHCC by default in tools (#14120),other,0,0,0
41c6640085de4c75b13ec292c7ccd5776b288ce2,Peter Dillinger,Fri Nov 7 09:04:52 2025 -0800,Auto-tune manifest file size (#14076),other,1,0,3
f324397aca72ea5dadc3c4c6b1f6452bb1b03ccb,Xingbo Wang,Mon Nov 10 15:20:50 2025 -0800,Add trivial move support in CompactFiles API (#14112),feature,3,0,1
b33c547b069c87eed1558215bbb1c10441490325,Xingbo Wang,Mon Nov 10 15:20:50 2025 -0800,Add trivial move support in CompactFiles API (#14112),feature,3,0,1
b897c3789b886f7e6dee6f22b8d29034dc3559b0,ngina,Mon Nov 10 14:47:36 2025 -0800,Merge BuiltinFilterBitsBuilder into FilterBitsBuilder for accurate filter size estimation (#14111),other,0,0,0
37176a4a440cf1acd784ac5cf5b8ed81783e9481,Peter Dillinger,Fri Nov 7 09:04:52 2025 -0800,Auto-tune manifest file size (#14076),other,1,0,3
7603712a88a947717ce281c47fcb75e1bd8fd29c,ngina,Wed Nov 5 20:00:00 2025 -0800,Introduce tail estimation to prevent oversized compaction files (#14051),other,3,0,0
10478b98a595cdcb26e649a91df7249914b0b383,Andrew Kryczka,Fri Oct 24 17:10:48 2025 -0700,Fix unsigned underflow in WAL TTL logic when system clock goes backwards (#14016),bug_fix,0,0,0
2db33019f595530a134216f6903fe84699402b79,Jay Huh,Thu Oct 23 18:10:12 2025 -0700,Make Meta Internal Linter happy (#14074),other,0,0,0
fac8222bfe434491473c608dfb04477897493b80,Jay Huh,Thu Oct 23 18:10:12 2025 -0700,Make Meta Internal Linter happy (#14074),other,0,0,0
e32c14eb5646e8f629df43e819ad8ffa529d8c3a,Hui Xiao,Tue Oct 21 12:13:57 2025 -0700,Stress/crash test improvement to remote compaction with resumable compaction (#14041),refactor,0,0,0
6d9b526551ef660dd02bfe7ed41cfb8e50c374dd,Hui Xiao,Mon Oct 20 15:11:45 2025 -0700,Add OpenAndCompact() to db_bench (#14003),feature,0,0,0
fba76b2ab88cb1abe98f8a2436abfea6646a2264,Xingbo Wang,Sun Oct 19 21:24:17 2025 -0700,Fix a nullptr access bug in MultiScan (#14062),bug_fix,0,0,0
a8a5ade6fabf56146d020012e700b229c86e9c37,Xingbo Wang,Sun Oct 19 21:24:17 2025 -0700,Fix a nullptr access bug in MultiScan (#14062),bug_fix,0,0,0
ad83352c3900dde08cfe79e727c1083e99fdae2a,Hui Xiao,Fri Oct 17 10:54:25 2025 -0700,Support dumping compaction progress file in ldb (#14058),feature,0,0,0
42842edc8d1767d8c0a3404fe8c2931eda2981a2,Jay Huh,Wed Oct 15 22:01:49 2025 -0700,Use new TableFactory for each remote compaction in stress test (#14050),feature,0,0,0
f7e4009de1d16421a254dd7e799dd91c522d832c,Hui Xiao,Wed Oct 15 13:43:53 2025 -0700,Integrate compaction resumption with DB::OpenAndCompact() (#13984),other,13,0,1
d3713c0fe3a19293614a09d9752bc05f4499dbd4,Xingbo Wang,Mon Oct 13 12:48:04 2025 -0700,Move the MultiScan seek key check to upper layer (#14040),other,0,0,0
f972d7713366c071365c935d58dc694bf6f5db3f,Xingbo Wang,Fri Sep 26 15:32:50 2025 -0700,Allow passing comparator in UDI (#14001),other,0,0,0
1585f2240c3af0f1b6e81706277b83d6b155e1e4,Xingbo Wang,Mon Oct 13 12:48:04 2025 -0700,Move the MultiScan seek key check to upper layer (#14040),other,0,0,0
2d331cc125f915a4f540ccb14e421a1d80dd738e,Peter Dillinger,Thu Oct 9 16:55:27 2025 -0700,Blog post for parallel compression revamp (#14035),other,0,0,0
cbfcac8d1d02d5389a6105f9bd0fa25a39873f02,Jay Huh,Tue Oct 7 17:31:59 2025 -0700,Stress Test Improvement (#14022),refactor,0,0,0
b4a36122562fabde932b8ab0fe5d578595b24fac,anand76,Tue Sep 30 11:45:49 2025 -0700,Fix incorrect MultiScan handling of range limit between files (#14011),bug_fix,0,0,0
c44a283847470011c0768f23c3fc3d033e51a71e,Peter Dillinger,Thu Oct 2 08:34:08 2025 -0700,Fix regression in LZ4 compression performance since 10.6 (#14017),bug_fix,0,0,0
9d3afcf543087692e5419069fb2372aaa04c7aaf,Peter Dillinger,Thu Oct 2 08:34:08 2025 -0700,Fix regression in LZ4 compression performance since 10.6 (#14017),bug_fix,0,0,0
742741b175c5f238374c1714f9db3340d49de569,Xingbo Wang,Wed Oct 1 18:20:35 2025 -0700,Support Super Block Alignment (#13909),feature,0,0,0
1e5fa69c99ac8765783f5ce8a3a065b08f5b08a7,Hui Xiao,Wed Oct 1 14:21:55 2025 -0700,Resuming and persisting subcompaction progress in CompactionJob (#13983),other,8,0,0
035242415f8db6b4cf61e5101fe18b53a77dc88a,anand76,Tue Sep 30 11:45:49 2025 -0700,Fix incorrect MultiScan handling of range limit between files (#14011),bug_fix,0,0,0
d8c058c5fe6a9dfb5219673a1d52e6008e4cecff,Hui Xiao,Mon Sep 29 10:55:16 2025 -0700,Blog about unified memory limit (#14002),other,0,0,0
c0e484c36e1fe07f36bdf5de6ca01979fcec5b6d,Hui Xiao,Fri Sep 26 15:57:06 2025 -0700,Blog about IO tagging (#14005),other,0,0,0
3d53af974694a6134bd712cc86fb8c6b26b253b0,Xingbo Wang,Fri Sep 26 15:32:50 2025 -0700,Allow passing comparator in UDI (#14001),other,0,0,0
28d9cc6484362410a4bd33ffd1c9b1a09e01a3df,anand76,Mon Sep 22 18:13:10 2025 -0700,Fail multi scan upon Prepare failure or bad scan options (#13974),other,0,0,0
66236860f3da694b4b3bf9952d30a5f7b688c1de,Changyu Bi,Mon Sep 22 15:30:24 2025 -0700,"Revert ""Create a new API FileSystem::SyncFile for file sync (#13762)"" (#13987)",feature,0,1,1
afbbc90b062bcdb9fbc4ad19a8b9c6129fa4dda5,anand76,Mon Sep 22 18:13:10 2025 -0700,Fail multi scan upon Prepare failure or bad scan options (#13974),other,0,0,0
54373ba0e8c149c36674cbe10c7c5d367ff69993,Changyu Bi,Mon Sep 22 15:30:24 2025 -0700,"Revert ""Create a new API FileSystem::SyncFile for file sync (#13762)"" (#13987)",feature,0,1,1
7ae602e80a72831ca479cf3d68d9ec8a55e4fc1b,Josh Kang,Mon Sep 22 13:36:26 2025 -0700,Support output temperature in CompactFiles (#13955),feature,0,0,1
a843991930aad82e5780e37a1a3126894dab0a7f,Peter Dillinger,Fri Sep 19 16:01:43 2025 -0700,Allow standalone file and directory arguments to sst_dump (#13978),other,0,0,0
fa3e61cce23afde91ee3c2fc5e42f223c44876d1,Peter Dillinger,Fri Sep 19 13:52:05 2025 -0700,Improve sst_dump --command=recompress (#13977),refactor,0,0,0
e9fc03eed73db75c32a2b4bdcaf3965d4416cfb2,Pavel Tcholakov,Fri Sep 19 09:52:15 2025 -0700,Expose C bindings for Column Family export/import (#13874),other,0,0,0
94e65a2e0b4f817aa4bfa4c96cdf867e7980d7bc,Xingbo Wang,Thu Sep 18 16:15:50 2025 -0700,Add option to validate key during seek in SkipList Memtable (#13902),feature,1,0,0
6127a42f98d88128e8a4cba24f1f7dab2be638fe,Peter Dillinger,Thu Sep 18 13:27:51 2025 -0700,Use/endorse (Auto)HyperClockCache by default over LRUCache (#13964),other,0,0,0
3c85aa8a69059cc82e45b95702be691eefeab0e4,Peter Dillinger,Wed Sep 17 08:43:19 2025 -0700,Some follow-up to parallel compression revamp (#13959),other,0,0,0
95813a84cd1d5d4cf20e216eb313e5ef80b95934,Xingbo Wang,Tue Sep 16 17:43:02 2025 -0700,Fix error from transactiondb layer in stress test (#13950),bug_fix,0,0,0
2620c85638bfa6e8b40ac675b494b722771c62b6,Changyu Bi,Mon Sep 15 11:39:45 2025 -0700,Support async IO for MultiScan (#13932),feature,0,0,0
29d9798ae86ed358cb2ad64781ab88257dbe8c30,Peter Dillinger,Sun Sep 14 07:38:00 2025 -0700,Revamp of parallel compression (#13910),other,0,0,0
acf9d4e44508c9f8f3b9b2c2dae9967363408bc8,Changyu Bi,Fri Sep 12 15:56:49 2025 -0700,Fix UDT handling in MultiScan (#13938),bug_fix,0,0,0
4f12c55e3e06e9572c3bc38cc8fdbfb8e561725b,Jay Huh,Fri Sep 12 11:42:48 2025 -0700,Make Remote Compaction Failures fall back to local in Stress Test (#13945),other,0,0,0
d87e598f70c960e3de2ea1984111f4fa35cbfee6,Andrew Chang,Wed Sep 10 17:54:26 2025 -0700,Update error logging and status reporting for unsupported iouring (#13936),feature,0,0,0
67af5bdc388cdc2e26215fcf7645e5c0f9097c52,Peter Dillinger,Wed Sep 10 10:29:49 2025 -0700,Add Temperature::kIce (#13927),feature,0,0,1
8b8a3de2c6f88e0703d465d29c902944231b036b,Xingbo Wang,Tue Sep 9 21:45:50 2025 -0700,Fix PointLockManager in C++20 (#13933),bug_fix,0,0,0
1aca60c089a48857930b4191b0c84b6dd98a221c,Xingbo Wang,Mon Sep 8 15:52:54 2025 -0700,Improve efficiency in PointLockManager by using separate Condvar (#13731),refactor,7,0,0
86bb0c0d1b41a5fdf48b085884ddf238135daf0a,Peter Dillinger,Mon Sep 8 13:11:28 2025 -0700,"Use C++20 in public API, fix CI (#13915)",bug_fix,0,0,0
96f796f93a3cbe3ce328f5fbeb4476e76ca50d11,Andrew Chang,Mon Sep 8 09:25:34 2025 -0700,Add logging for errors in external file ingestion path (#13905),feature,20,0,0
1b2aa8958b275642494c20c02ba7e7c0492db89d,anand76,Fri Sep 5 19:06:28 2025 -0700,Make failure to load UDI when opening an SST a soft failure (#13921),other,2,0,0
0044a76d36e71ebf8d1c0f8c6a17912d94dcfdbd,anand76,Fri Sep 5 19:06:28 2025 -0700,Make failure to load UDI when opening an SST a soft failure (#13921),other,2,0,0
6ea50e60547dbf722a54f8ec66d5fdc98c27ef18,anand76,Fri Aug 29 15:37:27 2025 -0700,"Revert ""Create a new API FileSystem::SyncFile for file sync (#13762)""",feature,0,1,1
8d2f420db2dbd4036aacdec961d0952fb6329ffd,Hui Xiao,Tue Aug 26 11:01:12 2025 -0700,Shorten the lifetime of statistics object in db stress (#13899),other,0,0,0
82b5a2d3fc42730fa992f1d8e154e0a78bc42a48,Changyu Bi,Fri Aug 22 16:05:56 2025 -0700,Allow ingestion of any DB generated SST file (#13878),other,0,0,0
439e1707fcd354412331d7f2b6c57139e35abf02,Changyu Bi,Fri Aug 22 13:32:10 2025 -0700,Fix MultiScan Prepare() to support dictionary compression (#13896),bug_fix,0,0,0
239b06cefb0af7c50f3ab571846fd81d4bed1d63,Andrew Chang,Fri Aug 22 12:31:50 2025 -0700,Retry on some io_uring_wait_cqe error codes (#13890),other,0,0,0
0b426ff58dabe299c705749981654b552e314721,Changyu Bi,Wed Aug 20 12:02:20 2025 -0700,Enable multiscan in crash test (#13888),other,0,0,0
84f814454ad54595e31b698cf288c9ed63f956aa,Maciej Szeszko,Fri Aug 15 15:41:01 2025 -0700,Remove reservation mismatch assert in cache adapter destructor (#13885),other,0,0,0
772e342a9269ff66d702258e1901a9ac09fd7824,anand76,Fri Aug 15 09:42:42 2025 -0700,Add an option to sst_dump to list all metadata blocks (#13838),feature,0,0,0
7e9c96020b79c799b6bb2c48cae37cc0a05d3ea0,Hui Xiao,Wed Aug 13 12:02:12 2025 -0700,Improve two error messages on WAL recovery (#13876),refactor,0,0,0
d2ac955881e856fc69d5b15427d742fc635aaead,Hui Xiao,Thu Aug 7 17:22:01 2025 -0700,Refactor CompactionJob::Run() into smaller focused methods (#13849),refactor,0,0,0
d0051d931475d7505d81b75e1daf4c3f4c9cbed1,Jay Huh,Thu Aug 7 09:22:29 2025 -0700,Disable other incompatible features when disabled WAL + Remote Compaction in Stress Test (#13845),feature,0,0,0
