hash,author,date,message,category,logs_added,logs_removed,logs_modified
2c22d6979393e604d3a1385ad093061e95d8b2b4,Botond DÃ©nes,Fri Apr 3 06:38:05 2026 +0300,Merge 'Pytest: fix variable handling in GSServer (mock) and ensure docker service logs go to test log as well' from Calle Wilund,bug_fix,0,0,0
b6ebbbf036ad555de5bbcf666ffd147e8197d8ac,Raphael S. Carvalho,Wed Apr 1 20:23:52 2026 -0300,test/cluster/test_tablets2: Fix test_split_stopped_on_shutdown race with stale log messages,bug_fix,0,0,0
4d4ce074bb1025de6a03afcc3b156dee56da9602,Aleksandra Martyniuk,Wed Apr 1 14:58:48 2026 +0200,test: node_ops_tasks_tree: reconnect driver after topology changes,other,0,0,0
d438e35cdd3ce087cf13d1d130aa8487d77a9057,Avi Kivity,Tue Mar 31 14:09:10 2026 +0300,test/cluster: fix race in test_insert_failure_standalone audit log query,bug_fix,0,0,0
216d39883a7e1421430ad5b239dc7306381a2cba,Avi Kivity,Tue Mar 31 13:53:01 2026 +0300,Merge 'test: audit: fix audit test syslog race' from Dario Mirovic,bug_fix,0,0,0
b9f82f6f23a30c2405d26a039fabb79ac087d11c,Patryk JÄ™drzejczak,Fri Mar 27 15:52:05 2026 +0100,raft_group0: join_group0: fix join hang when node joins group 0 before post_server_start,bug_fix,0,0,0
0cb63fb669a73d18391e86a1cc0b7aa96862ced3,Dario Mirovic,Tue Mar 31 02:25:15 2026 +0200,test: cluster: wait for full config reload in audit live-update path,other,0,0,0
1d623196ebc4d67e85ab65ea460e00be0566f569,Dario Mirovic,Tue Mar 31 02:24:51 2026 +0200,test: cluster: fix syslog listener datagram ordering race,bug_fix,0,0,0
854c374ebf2b6a309d786ae510108c2de1b618af,Botond DÃ©nes,Tue Mar 24 12:13:20 2026 +0200,test/encryption: wait for topology convergence after abrupt restart,other,0,0,0
5a086ae9b7464933b2dd4615ec3b6c25c0492880,bitpathfinder,Thu Mar 26 18:25:05 2026 +0100,test: fix race condition in test_crashed_node_substitution,bug_fix,0,0,0
141aa2d696c97da97b3fdbeb041aacc6482535ae,Patryk JÄ™drzejczak,Tue Mar 24 16:27:01 2026 +0100,Merge 'test/cluster/test_incremental_repair.py: fix typo + enable compaction DEBUG logs' from Botond DÃ©nes,bug_fix,0,0,0
f1b3bff4a5d1b965825128456d9fac10f44f0a07,Calle Wilund,Wed Mar 18 18:32:37 2026 +0100,dockerized_service: Convert log reader to pipes and push to test log,other,0,0,0
148217bed6652cd4692c5892608013238df44096,Dawid MÄ™drek,Mon Mar 23 19:12:12 2026 +0100,test: cluster: Increase log level in test_write_cl_any_to_dead_node_generates_hints,logging_improvement,0,0,0
60fb5270a9d89140cf305418130d006c78265fef,Piotr Dulikowski,Fri Mar 20 12:07:32 2026 +0100,logstor: fix fmt::format use with std::filesystem::path,bug_fix,0,0,0
f5438e0587091662502e53ea283a775105ebab05,Botond DÃ©nes,Mon Mar 23 15:45:22 2026 +0200,test/cluster/test_incremental_repair.py: enable compaction DEBUG logs in do_tablet_incremental_repair_and_ops,bug_fix,0,0,0
0a8dc4532b6b6938f2b1e0398b6620709874fd07,Pavel Emelyanov,Mon Mar 16 10:53:53 2026 +0300,s3: Fix missing upload ID in copy_part trace log,bug_fix,0,0,0
ea2a214959e90b18613b7c97dabd983bb0bab6a1,Pavel Emelyanov,Fri Mar 13 15:15:23 2026 +0300,test/backup: Use unique_name() for backup prefix instead of cf_dir,bug_fix,0,0,0
6b259babeb0ef14c82082d67871b8fca19afde7f,Avi Kivity,Fri Mar 20 00:02:16 2026 +0200,Merge 'logstor: initial log-structured storage for key-value tables' from Michael Litvak,other,0,0,0
d2c44722e1dedb0d1dd195d29de37eea19727fe8,Dario Mirovic,Thu Mar 5 18:50:11 2026 +0100,test: cluster: fix log clear race condition in test_audit.py,bug_fix,0,0,0
249a6cec1b9a422400a34d8f73d028a89d0d384f,Dario Mirovic,Wed Feb 25 03:15:29 2026 +0100,test: cluster: dtest: remove old audit tests,other,0,0,0
967b7ff6bf958d219d480b6a82fa8dd74f925b75,Dario Mirovic,Mon Feb 16 06:09:54 2026 +0100,test: cluster: enable migrated audit tests and make them work,other,0,0,0
0a7a69345c98c575b5646e5bc1de7a32daad08a6,Dario Mirovic,Mon Feb 16 06:03:05 2026 +0100,test: pylib: scylla cluster after_test log fix,bug_fix,0,0,0
899ae713498f07834cde0e71f5d025002c8d8d37,Dario Mirovic,Sun Feb 15 16:24:45 2026 +0100,test: audit: copy audit test from dtest,other,0,0,0
